0.004883,-0.008301,1.006104,-0.060976,0.000000,0.121951,0.000000.1,0.000000.2,0.000000.3
-0.002686,0.007568,1.002197,-0.365854,0.0,0.182927,0.0,0.0,0.0
-0.003174,0.00415,1.002686,-0.121951,0.060976,0.304878,0.0,0.0,0.0
0.006104,-0.002686,1.002441,-0.182927,0.060976,0.0,0.0,0.0,0.0
0.006348,0.01001,1.003662,-0.060976,0.0,0.060976,0.0,0.0,0.0
0.000977,-0.003174,0.999512,-0.243902,0.060976,0.243902,0.0,0.0,0.0
-0.001709,0.003662,1.001709,0.121951,0.060976,0.304878,0.0,0.0,0.0
-0.00293,-0.004883,0.999023,-0.121951,0.060976,-0.121951,0.0,0.0,0.0
-0.003174,-0.004639,1.001221,0.060976,0.060976,0.060976,0.0,0.0,0.0
-0.003906,0.001221,1.002197,0.182927,-0.182927,0.304878,0.0,0.0,0.0
0.001953,0.00415,1.001465,0.182927,0.243902,0.365854,0.0,0.0,0.0
-0.004639,0.006348,1.003906,0.182927,0.060976,0.121951,0.0,0.0,0.0
-0.000244,0.005371,1.003418,-0.182927,0.0,0.243902,0.0,0.0,0.0
-0.006836,-0.001221,1.007568,-0.121951,-0.182927,0.060976,0.0,0.0,0.0
0.005615,-0.002197,1.00415,-0.060976,-0.243902,0.060976,0.0,0.0,0.0
-0.006592,0.000244,1.001709,0.0,0.121951,-0.060976,0.0,0.0,0.0
0.001465,-0.001221,1.006592,0.0,0.060976,0.0,0.0,0.0,0.0
-0.006348,0.001709,1.004395,-0.121951,0.243902,0.060976,0.0,0.0,0.0
0.0,-0.000732,1.005615,-0.060976,0.060976,-0.121951,0.0,0.0,0.0
0.00293,0.005127,1.004639,-0.304878,0.121951,0.121951,0.0,0.0,0.0
-0.001953,0.00293,1.001953,-0.121951,-0.365854,0.060976,0.0,0.0,0.0
-0.000977,0.00415,1.000488,0.0,-0.060976,0.0,0.0,0.0,0.0
-0.000488,0.0,1.000977,-0.060976,-0.121951,0.0,0.0,0.0,0.0
-0.000732,0.004883,1.004639,-0.121951,0.121951,0.060976,0.0,0.0,0.0
0.000977,0.009521,1.002441,-0.121951,0.304878,0.121951,0.0,0.0,0.0
0.001465,-0.000977,1.003662,0.0,0.365854,-0.060976,0.0,0.0,0.0
0.001221,0.004395,1.000732,-0.365854,-0.121951,-0.060976,0.0,0.0,0.0
-0.003418,0.000244,1.005615,-0.243902,-0.060976,-0.365854,0.0,0.0,0.0
0.002197,0.002441,1.006348,-0.121951,-0.060976,-0.182927,0.0,0.0,0.0
-0.001709,0.000977,0.999512,-0.182927,-0.060976,-0.060976,0.0,0.0,0.0
0.0,0.003418,1.002686,-0.060976,-0.182927,0.243902,0.0,0.0,0.0
-0.003662,0.002441,1.000488,-0.182927,-0.121951,-0.121951,0.0,0.0,0.0
-0.002197,-0.000977,1.008057,0.182927,-0.060976,-0.243902,0.0,0.0,0.0
0.001221,0.007324,1.00415,-0.060976,0.0,0.0,0.0,0.0,0.0
-0.00415,0.001709,1.005615,0.182927,-0.121951,0.182927,0.0,0.0,0.0
0.003174,0.000244,1.003662,-0.243902,0.182927,-0.121951,0.0,0.0,0.0
0.001709,0.008545,1.009277,0.060976,-0.060976,0.0,0.0,0.0,0.0
-0.000977,0.006592,1.005859,-0.060976,-0.121951,-0.304878,0.0,0.0,0.0
-0.002197,0.004639,0.999512,-0.060976,0.060976,0.0,0.0,0.0,0.0
-0.003174,0.006348,1.004883,-0.060976,0.0,0.304878,0.0,0.0,0.0
-0.000732,0.000488,1.008545,0.060976,-0.060976,-0.365854,0.0,0.0,0.0
-0.003662,0.00708,1.004395,-0.304878,0.182927,-0.304878,0.0,0.0,0.0
0.003906,-0.000244,1.004883,-0.182927,-0.182927,-0.426829,0.0,0.0,0.0
-0.002686,0.004395,1.001709,-0.121951,0.060976,0.060976,0.0,0.0,0.0
