-0.084717,0.00293,1.058838,7.5,1.585366,-5.365854,0.0,0.0,0.0
-0.13623,-0.001465,1.000732,1.158537,-0.670732,-11.097561,0.0,0.0,0.0
-0.104248,-0.024902,0.99707,-17.5,-0.365854,8.231708,0.0,0.0,0.0
-0.059326,-0.041016,1.007324,10.243902,0.731707,-1.341463,0.0,0.0,0.0
-0.057129,-0.0625,0.993652,8.231708,0.304878,-12.317074,0.0,0.0,0.0
-0.065186,0.024902,1.033447,25.609756,0.0,-27.073172,0.0,0.0,0.0
-0.093994,0.039307,1.002686,12.743903,0.0,-14.878049,0.0,0.0,0.0
-0.35376,-0.01416,0.986328,-2.012195,0.182927,-9.573171,0.0,0.0,0.0
-0.131104,0.048828,0.989014,-7.621952,5.426829,1.341463,0.0,0.0,0.0
-0.095459,0.018066,0.978516,-0.487805,4.756098,0.304878,0.0,0.0,0.0
-0.171875,0.046143,0.970703,-17.804878,15.54878,4.207317,0.0,0.0,0.0
-0.137695,0.014893,0.996338,-28.292683,9.146341,4.756098,0.0,0.0,0.0
-0.174561,0.054932,0.952393,11.158537,0.609756,1.402439,0.0,0.0,0.0
-0.092285,0.019775,0.988525,1.585366,0.304878,2.560976,0.0,0.0,0.0
-0.141602,0.036865,0.966797,16.097561,0.121951,0.853659,0.0,0.0,0.0
-0.099854,0.02417,1.041992,-7.317073,0.121951,1.768293,0.0,0.0,0.0
-0.105957,0.036621,1.002197,1.52439,-0.243902,0.97561,0.0,0.0,0.0
