0.150146,-0.027344,0.992676,-1.524390,0.000000,-1.707317,0.000000.1,0.000000.2,0.000000.3
-0.125977,0.013184,0.994141,-0.365854,-0.365854,-6.280488,0.0,0.0,0.0
-0.073975,0.025391,0.998047,0.548781,-0.243902,-4.573171,0.0,0.0,0.0
-0.07959,0.020508,1.008057,-0.97561,0.060976,-4.512195,0.0,0.0,0.0
-0.055176,0.038574,1.001709,0.0,-0.182927,-4.207317,0.0,0.0,0.0
-0.06665,0.006592,1.005859,-0.182927,-0.060976,-3.719512,0.0,0.0,0.0
-0.08374,0.050781,1.008789,0.304878,0.0,-2.378049,0.0,0.0,0.0
-0.065918,0.040039,1.008057,0.914634,-0.609756,-3.231707,0.0,0.0,0.0
-0.092529,0.029053,0.995605,0.182927,0.0,-3.170732,0.0,0.0,0.0
-0.09082,0.033936,0.999268,0.548781,-0.060976,-2.743902,0.0,0.0,0.0
-0.068115,0.052734,1.000488,0.487805,-0.060976,-2.804878,0.0,0.0,0.0
-0.064697,0.046387,1.001221,0.426829,-0.060976,-4.085366,0.0,0.0,0.0
-0.076172,0.049805,1.004639,-0.121951,-0.060976,-4.634146,0.0,0.0,0.0
-0.07666,0.041016,1.003662,-0.060976,-0.121951,-4.390244,0.0,0.0,0.0
-0.042236,0.047363,1.009521,-0.182927,-0.365854,-5.426829,0.0,0.0,0.0
-0.063965,0.032227,1.001221,-0.426829,-0.304878,-5.609756,0.0,0.0,0.0
-0.051514,0.007568,1.003662,-0.060976,-0.304878,-5.121951,0.0,0.0,0.0
-0.064453,0.013916,1.000488,-0.365854,-0.121951,-4.756098,0.0,0.0,0.0
-0.044922,0.020996,1.007812,-0.426829,-0.182927,-3.841464,0.0,0.0,0.0
-0.049072,0.028564,1.002197,-0.304878,-0.182927,-3.231707,0.0,0.0,0.0
-0.032959,0.023926,0.998047,0.060976,0.0,-3.170732,0.0,0.0,0.0
-0.050293,0.021484,1.001465,0.304878,-0.548781,-2.621951,0.0,0.0,0.0
-0.059082,0.03125,0.995117,-0.304878,-0.243902,-2.865854,0.0,0.0,0.0
-0.042725,0.018555,1.005615,-0.304878,-0.365854,-2.256098,0.0,0.0,0.0
-0.037842,0.038086,1.0,0.060976,-0.304878,-1.95122,0.0,0.0,0.0
-0.053223,0.038574,0.999512,-0.182927,-0.243902,-1.463415,0.0,0.0,0.0
-0.053223,0.036621,1.002441,0.304878,-0.182927,-1.829268,0.0,0.0,0.0
-0.053467,0.025879,1.003906,-0.182927,-0.060976,-1.768293,0.0,0.0,0.0
-0.041748,0.039795,1.00415,0.243902,-0.060976,-1.646341,0.0,0.0,0.0
-0.038574,0.03418,1.001221,0.060976,-0.121951,-1.829268,0.0,0.0,0.0
-0.065186,0.037109,1.001465,0.0,-0.060976,-1.463415,0.0,0.0,0.0
-0.068604,0.015381,1.000732,-0.060976,0.0,-1.585366,0.0,0.0,0.0
-0.065674,0.020752,1.002441,0.0,-0.426829,-0.853659,0.0,0.0,0.0
-0.004883,0.020996,0.996094,0.0,0.243902,0.060976,0.0,0.0,0.0
-0.002197,0.022461,0.999023,0.121951,-0.182927,0.121951,0.0,0.0,0.0
-0.000977,0.019531,1.000977,0.060976,0.121951,-0.365854,0.0,0.0,0.0
-0.009277,0.022461,1.003906,0.426829,0.121951,0.060976,0.0,0.0,0.0
-0.001221,0.026611,1.000488,-0.121951,0.0,0.182927,0.0,0.0,0.0
-0.001953,0.014893,1.0,0.121951,0.182927,0.0,0.0,0.0,0.0
-0.000977,0.014404,1.001465,-0.182927,-0.304878,0.060976,0.0,0.0,0.0
-0.002441,0.022217,1.003418,-0.060976,-0.060976,-0.182927,0.0,0.0,0.0
0.002441,0.022949,0.997803,-0.182927,0.060976,-0.121951,0.0,0.0,0.0
0.000732,0.02417,1.004883,-0.060976,-0.121951,-0.121951,0.0,0.0,0.0
-0.003662,0.019775,1.009766,0.182927,0.0,-0.121951,0.0,0.0,0.0
0.002441,0.019043,1.002686,0.182927,-0.243902,0.0,0.0,0.0,0.0
0.0,0.022461,1.000732,-0.121951,-0.182927,-0.182927,0.0,0.0,0.0
-0.001465,0.019775,1.003174,-0.365854,-0.060976,0.0,0.0,0.0,0.0
-0.002441,0.019287,0.996338,0.060976,0.060976,-0.121951,0.0,0.0,0.0
-0.003418,0.010742,1.000488,-0.121951,-0.121951,0.0,0.0,0.0,0.0
-0.001953,0.019043,1.003418,0.121951,-0.182927,0.0,0.0,0.0,0.0
-0.005127,0.022705,0.999512,-0.060976,-0.182927,-0.243902,0.0,0.0,0.0
-0.003174,0.023193,0.994385,-0.060976,0.182927,0.243902,0.0,0.0,0.0
-0.009033,0.021729,0.999268,-0.121951,-0.304878,0.060976,0.0,0.0,0.0
-0.006592,0.022461,1.0,-0.182927,-0.182927,-0.060976,0.0,0.0,0.0
-0.000732,0.020264,1.000488,0.0,0.182927,0.243902,0.0,0.0,0.0
-0.001221,0.02417,1.000244,0.182927,0.060976,0.0,0.0,0.0,0.0
-0.001465,0.018555,1.000244,0.0,0.0,0.182927,0.0,0.0,0.0
-0.000488,0.02124,1.006104,-0.060976,0.182927,-0.060976,0.0,0.0,0.0
-0.005127,0.02417,1.003418,-0.182927,0.060976,0.121951,0.0,0.0,0.0
-0.001953,0.018311,0.996582,-0.182927,0.0,-0.060976,0.0,0.0,0.0
-0.011719,0.02002,1.000488,0.0,0.060976,0.182927,0.0,0.0,0.0
-0.002197,0.021729,1.001465,0.0,-0.121951,-0.182927,0.0,0.0,0.0
-0.001709,0.022949,1.006836,0.0,0.243902,-0.121951,0.0,0.0,0.0
-0.012939,0.02832,1.00293,0.304878,-0.182927,-0.487805,0.0,0.0,0.0
-0.017822,0.03125,1.00293,0.243902,-0.060976,-0.97561,0.0,0.0,0.0
-0.010986,0.024414,1.000488,-0.182927,-0.121951,-0.97561,0.0,0.0,0.0
-0.021729,0.038818,1.005615,-0.304878,0.0,-1.036585,0.0,0.0,0.0
-0.00415,0.02417,1.007568,0.0,-0.243902,-1.52439,0.0,0.0,0.0
-0.012207,0.029053,1.002686,-0.182927,-0.121951,-1.280488,0.0,0.0,0.0
0.002197,0.028564,1.002441,-0.182927,-0.121951,-1.829268,0.0,0.0,0.0
-0.021729,0.041992,0.998291,-0.182927,0.0,-2.378049,0.0,0.0,0.0
-0.021484,0.032227,1.001465,0.121951,0.060976,-2.560976,0.0,0.0,0.0
-0.088867,0.024414,1.004639,-0.365854,-0.243902,-3.353659,0.0,0.0,0.0
-0.038086,0.029541,1.000732,0.121951,-0.304878,-2.865854,0.0,0.0,0.0
-0.059814,0.044678,0.999512,-0.548781,-0.060976,-3.292683,0.0,0.0,0.0
-0.101807,0.01416,0.992432,0.121951,-0.304878,-2.987805,0.0,0.0,0.0
-0.030029,0.020264,0.998779,-0.182927,-0.182927,-2.256098,0.0,0.0,0.0
-0.026855,0.005371,1.005859,-0.487805,-0.182927,-1.829268,0.0,0.0,0.0
-0.085938,0.024414,1.002197,-0.060976,-0.182927,-1.829268,0.0,0.0,0.0
-0.037109,0.00415,1.001709,0.060976,0.060976,-0.97561,0.0,0.0,0.0
-0.040283,0.001953,1.000977,-0.304878,0.243902,-0.609756,0.0,0.0,0.0
-0.064941,0.010498,1.007324,0.304878,-0.060976,0.0,0.0,0.0,0.0
-0.044434,0.01709,0.998535,0.121951,0.060976,0.365854,0.0,0.0,0.0
