0.003906,0.011719,1.009033,-0.182927,0.000000,0.121951,0.000000.1,0.000000.2,0.000000.3
-0.118164,0.024658,0.998535,0.853659,-0.365854,-3.47561,0.0,0.0,0.0
-0.104004,0.015869,1.007812,0.487805,0.121951,-2.682927,0.0,0.0,0.0
-0.08667,0.025879,1.002441,0.243902,-0.182927,-2.560976,0.0,0.0,0.0
-0.03833,-0.002197,1.002686,0.609756,0.121951,-1.097561,0.0,0.0,0.0
-0.008545,0.025635,0.999023,-0.548781,0.121951,-0.060976,0.0,0.0,0.0
-0.000488,0.018799,1.005859,-0.792683,-0.243902,-0.182927,0.0,0.0,0.0
-0.005127,0.024414,1.005859,-0.792683,0.0,-0.304878,0.0,0.0,0.0
-0.002197,0.022461,1.00708,-0.365854,-0.121951,0.121951,0.0,0.0,0.0
0.002197,0.023193,1.003662,-0.182927,0.060976,0.060976,0.0,0.0,0.0
0.003906,0.02417,1.001709,-0.121951,-0.304878,0.0,0.0,0.0,0.0
-0.003418,0.02002,0.999268,-0.182927,0.121951,0.304878,0.0,0.0,0.0
0.0,0.020752,0.996094,0.182927,0.182927,0.243902,0.0,0.0,0.0
-0.003662,0.015137,0.996094,0.304878,0.182927,-0.182927,0.0,0.0,0.0
-0.002686,0.016113,1.002686,0.365854,0.243902,0.0,0.0,0.0,0.0
0.000488,0.021973,1.004639,0.121951,0.0,-0.060976,0.0,0.0,0.0
-0.006348,0.016602,0.999756,0.121951,-0.060976,0.121951,0.0,0.0,0.0
-0.004639,0.020508,0.998779,0.0,-0.121951,0.060976,0.0,0.0,0.0
-0.005371,0.018311,1.000732,-0.182927,0.121951,-0.121951,0.0,0.0,0.0
-0.001953,0.021729,1.001953,-0.182927,-0.060976,-0.121951,0.0,0.0,0.0
-0.002197,0.024902,1.003418,-0.121951,0.182927,0.182927,0.0,0.0,0.0
0.000244,0.021484,1.000732,-0.121951,0.182927,-0.182927,0.0,0.0,0.0
-0.001465,0.023438,1.001953,0.060976,0.182927,-0.243902,0.0,0.0,0.0
-0.002686,0.020752,0.999268,0.121951,0.0,-0.060976,0.0,0.0,0.0
-0.001709,0.019775,0.999512,-0.121951,0.121951,0.060976,0.0,0.0,0.0
-0.003662,0.02832,1.003662,0.243902,-0.121951,-0.304878,0.0,0.0,0.0
-0.005371,0.024658,0.998291,0.182927,0.060976,-0.365854,0.0,0.0,0.0
-0.003906,0.027588,1.001709,0.304878,-0.182927,-0.121951,0.0,0.0,0.0
-0.004883,0.024658,1.000977,-0.182927,0.243902,-0.304878,0.0,0.0,0.0
-0.001465,0.018799,0.995117,0.182927,0.0,-0.304878,0.0,0.0,0.0
-0.004883,0.023438,0.999023,-0.060976,-0.121951,-0.609756,0.0,0.0,0.0
-0.004639,0.023438,1.007568,0.060976,0.0,-0.426829,0.0,0.0,0.0
-0.002441,0.019531,1.002686,0.182927,0.182927,-0.670732,0.0,0.0,0.0
-0.004639,0.023193,1.001953,0.304878,0.304878,-0.670732,0.0,0.0,0.0
-0.000977,0.023193,1.00415,0.121951,0.0,-0.792683,0.0,0.0,0.0
-0.002441,0.02417,0.997803,0.0,0.304878,-0.853659,0.0,0.0,0.0
0.001221,0.016357,1.000732,0.243902,0.365854,-0.609756,0.0,0.0,0.0
0.001953,0.020996,1.006348,0.0,0.304878,-0.304878,0.0,0.0,0.0
-0.000488,0.024902,1.001953,0.0,0.060976,-0.670732,0.0,0.0,0.0
-0.004395,0.023438,1.0,0.0,0.121951,-0.182927,0.0,0.0,0.0
-0.005371,0.016357,0.995605,-0.182927,0.182927,-0.548781,0.0,0.0,0.0
-0.002686,0.019775,0.997803,-0.182927,-0.060976,-0.121951,0.0,0.0,0.0
