0.103760,-0.001953,1.014160,-0.426829,-0.426829.1,-1.280488,0.000000,0.000000.1,0.000000.2
0.052002,0.019043,1.019287,-0.97561,-0.97561,-1.890244,0.0,0.0,0.0
0.064941,-0.001465,1.025391,1.097561,-0.670732,-2.743902,0.0,0.0,0.0
0.02832,0.027344,1.006104,1.768293,-0.060976,-2.987805,0.0,0.0,0.0
0.000732,0.068115,1.004395,0.731707,-0.548781,-4.817073,0.0,0.0,0.0
0.029541,0.030762,0.994629,1.280488,-0.487805,-6.95122,0.0,0.0,0.0
0.032959,0.000488,1.029541,2.560976,-0.548781,-7.012195,0.0,0.0,0.0
-0.032471,-0.043213,0.968506,-2.317073,-0.243902,-7.012195,0.0,0.0,0.0
0.020752,-0.025635,1.018066,-0.304878,0.304878,-7.378049,0.0,0.0,0.0
0.013672,0.003418,0.996338,-0.792683,-0.304878,-7.012195,0.0,0.0,0.0
-0.081055,-0.003906,1.009033,-1.280488,-0.365854,-6.52439,0.0,0.0,0.0
-0.05957,-0.003418,1.022705,0.121951,-0.060976,-7.560976,0.0,0.0,0.0
-0.053711,0.016602,1.019775,0.670732,-0.365854,-8.170732,0.0,0.0,0.0
-0.058838,0.022705,1.016602,2.012195,-0.670732,-8.658537,0.0,0.0,0.0
-0.008057,-0.027588,0.977783,2.621951,0.0,-9.817074,0.0,0.0,0.0
-0.052002,-0.030762,0.989014,-0.121951,-0.304878,-9.695122,0.0,0.0,0.0
-0.055664,0.026367,1.026611,-0.426829,-0.365854,-10.365854,0.0,0.0,0.0
-0.023926,-0.059326,0.979492,-0.365854,-0.121951,-10.487805,0.0,0.0,0.0
-0.121094,-0.01709,1.004395,-0.365854,-0.365854,-8.719512,0.0,0.0,0.0
-0.072266,-0.025879,0.993164,0.792683,-0.182927,-8.47561,0.0,0.0,0.0
