-0.026855,-0.107178,0.975586,-4.085366,-0.853659,0.000000,0.000000.1,0.000000.2,0.000000.3
0.301758,0.03125,1.736084,45.792683,16.097561,-48.658539,0.0,0.0,0.0
0.300293,-0.005615,1.776123,47.073174,27.012196,-53.353661,0.0,0.0,0.0
0.304932,-0.051514,1.758789,51.463417,39.268295,-54.451221,0.0,0.0,0.0
0.304443,-0.048828,1.766113,59.7561,54.024391,-55.792683,0.0,0.0,0.0
0.323975,-0.118164,1.654297,50.121952,60.975613,-55.914635,0.0,0.0,0.0
0.300537,-0.139648,1.584473,53.780491,72.012199,-51.768295,0.0,0.0,0.0
0.314697,-0.147461,1.472412,48.475613,77.317078,-50.975613,0.0,0.0,0.0
0.29126,-0.147949,1.432373,46.890244,78.719513,-50.0,0.0,0.0,0.0
0.25708,-0.114014,1.404541,47.560978,81.158539,-49.329269,0.0,0.0,0.0
0.238037,-0.111572,1.362549,48.231709,84.451225,-50.304878,0.0,0.0,0.0
0.203369,-0.088379,1.294189,48.536587,87.987808,-50.731709,0.0,0.0,0.0
0.169434,-0.099609,1.212158,48.170734,90.731712,-52.134148,0.0,0.0,0.0
0.134521,-0.142822,1.131592,48.902439,92.439026,-51.646343,0.0,0.0,0.0
0.114502,-0.135498,1.055176,50.975613,93.292686,-49.390244,0.0,0.0,0.0
0.096191,-0.166016,0.89502,40.243904,90.243904,-47.560978,0.0,0.0,0.0
0.045654,-0.18457,0.841309,35.731709,85.975609,-44.024391,0.0,0.0,0.0
0.028564,-0.15625,0.765625,29.87805,83.353661,-41.097561,0.0,0.0,0.0
-0.01123,-0.169434,0.659912,13.414635,76.524391,-37.5,0.0,0.0,0.0
-0.044922,-0.191162,0.593262,9.207317,70.243904,-34.390244,0.0,0.0,0.0
-0.061279,-0.19458,0.602539,13.47561,62.92683,-31.219513,0.0,0.0,0.0
-0.067871,-0.171631,0.683838,17.256098,57.2561,-28.109756,0.0,0.0,0.0
-0.088867,-0.159668,0.810547,21.280489,57.134148,-25.304878,0.0,0.0,0.0
-0.088379,-0.126465,0.887207,26.768293,62.317074,-23.536587,0.0,0.0,0.0
-0.072754,-0.131104,0.911377,32.5,68.963417,-23.414635,0.0,0.0,0.0
-0.05249,-0.09375,0.915039,32.92683,77.378052,-22.621952,0.0,0.0,0.0
-0.044922,-0.094971,0.85791,27.256098,85.0,-23.414635,0.0,0.0,0.0
-0.053711,-0.151367,0.754883,22.682928,90.060974,-23.475611,0.0,0.0,0.0
-0.051758,-0.184814,0.652344,19.939024,92.195122,-22.195122,0.0,0.0,0.0
-0.057861,-0.214355,0.555908,16.646341,91.280487,-19.939024,0.0,0.0,0.0
-0.0896,-0.253418,0.481689,16.585365,87.804878,-15.792684,0.0,0.0,0.0
-0.097656,-0.225098,0.428467,18.780489,83.597565,-11.158537,0.0,0.0,0.0
-0.112061,-0.233887,0.33667,9.573171,75.731712,-7.865854,0.0,0.0,0.0
-0.137207,-0.185059,0.34375,6.097561,65.487808,-3.04878,0.0,0.0,0.0
-0.179199,-0.147949,0.369385,5.121951,58.780491,0.243902,0.0,0.0,0.0
-0.195557,-0.103027,0.382324,4.390244,53.170734,2.073171,0.0,0.0,0.0
-0.205566,-0.079346,0.389893,4.756098,47.439026,3.231707,0.0,0.0,0.0
-0.206543,-0.054199,0.406982,5.243903,43.231709,4.573171,0.0,0.0,0.0
-0.221436,-0.009277,0.445557,4.268293,38.902439,5.670732,0.0,0.0,0.0
-0.235107,0.026855,0.464844,0.97561,35.975609,6.097561,0.0,0.0,0.0
-0.248779,0.066162,0.439941,-3.719512,34.085365,6.402439,0.0,0.0,0.0
-0.267334,0.11499,0.39917,-9.02439,30.365854,5.426829,0.0,0.0,0.0
-0.29126,0.095215,0.329834,-13.719513,25.54878,3.292683,0.0,0.0,0.0
-0.309814,0.092529,0.239014,-14.268293,15.426829,1.829268,0.0,0.0,0.0
-0.318604,0.090332,0.203369,-14.207317,5.54878,0.0,0.0,0.0,0.0
-0.339844,0.080322,0.179443,-10.853659,-6.890244,-1.280488,0.0,0.0,0.0
-0.328613,0.077148,0.188721,-7.195122,-20.731709,-2.195122,0.0,0.0,0.0
-0.304932,0.060547,0.251465,-6.280488,-34.878048,-3.353659,0.0,0.0,0.0
-0.295166,0.02832,0.376465,-6.402439,-47.560978,-3.353659,0.0,0.0,0.0
-0.279053,0.022949,0.487793,-6.158537,-55.18293,-2.5,0.0,0.0,0.0
-0.249268,0.030762,0.572266,-5.54878,-59.7561,-1.52439,0.0,0.0,0.0
-0.221924,0.045654,0.623535,-7.804878,-62.804878,-0.792683,0.0,0.0,0.0
-0.208252,0.054443,0.660156,-10.182927,-64.878052,-1.097561,0.0,0.0,0.0
-0.200684,0.066162,0.651611,-10.853659,-66.585365,-1.402439,0.0,0.0,0.0
-0.175537,0.071777,0.609619,-11.219512,-70.670731,-1.341463,0.0,0.0,0.0
-0.143799,0.114502,0.579102,-11.95122,-76.707321,-1.829268,0.0,0.0,0.0
-0.117188,0.129883,0.562012,-13.719513,-85.426834,-3.841464,0.0,0.0,0.0
-0.092773,0.095947,0.591064,-15.121951,-96.158539,-6.402439,0.0,0.0,0.0
-0.070801,0.057373,0.669434,-16.402439,-104.268295,-8.292683,0.0,0.0,0.0
-0.051758,0.009521,0.806152,-16.158537,-108.902443,-9.878049,0.0,0.0,0.0
