0.090332,0.187988,1.004883,-0.731707,-2.134146,-0.731707.1,0.000000,0.000000.1,0.000000.2
-0.072266,0.550781,0.78418,-2.378049,-66.951218,46.341465,0.0,0.0,0.0
-0.070801,0.599121,0.804199,0.182927,-68.597565,44.207317,0.0,0.0,0.0
-0.054688,0.629395,0.840332,-0.365854,-71.219513,42.560978,0.0,0.0,0.0
-0.053223,0.672852,0.870117,-2.560976,-72.865852,39.146343,0.0,0.0,0.0
-0.064453,0.688965,0.92041,-3.963415,-75.0,34.7561,0.0,0.0,0.0
-0.087402,0.685547,0.96875,-3.963415,-78.353661,30.731709,0.0,0.0,0.0
-0.064453,0.689453,0.997559,-9.268292,-72.743904,26.219513,0.0,0.0,0.0
-0.057129,0.663574,0.968262,-10.853659,-68.292686,21.829269,0.0,0.0,0.0
-0.064941,0.655273,0.913574,-10.54878,-67.5,19.329269,0.0,0.0,0.0
-0.062012,0.659668,0.901367,-11.402439,-68.841469,16.707317,0.0,0.0,0.0
-0.07959,0.644043,0.888184,-10.304878,-71.707321,14.634147,0.0,0.0,0.0
-0.078125,0.670898,0.912109,-10.243902,-74.878052,11.829268,0.0,0.0,0.0
-0.077148,0.682129,0.959961,-11.280488,-77.439026,8.170732,0.0,0.0,0.0
-0.064941,0.657715,1.021484,-12.5,-77.621956,3.231707,0.0,0.0,0.0
-0.056641,0.630859,1.036133,-13.658537,-76.951218,0.365854,0.0,0.0,0.0
-0.035156,0.611328,1.041504,-14.45122,-75.670731,-2.5,0.0,0.0,0.0
-0.026367,0.594727,1.046387,-14.45122,-74.085365,-5.182927,0.0,0.0,0.0
-0.018066,0.577637,1.05957,-13.109756,-73.414635,-7.073171,0.0,0.0,0.0
-0.006836,0.582031,1.05957,-12.5,-71.707321,-9.390244,0.0,0.0,0.0
-0.011719,0.598145,1.061523,-12.560976,-70.914635,-11.768293,0.0,0.0,0.0
-0.015137,0.588867,1.07959,-12.317074,-70.609756,-14.939025,0.0,0.0,0.0
-0.012695,0.577148,1.095703,-10.914635,-69.512199,-18.414635,0.0,0.0,0.0
-0.00293,0.550781,1.111328,-9.45122,-67.439026,-22.256098,0.0,0.0,0.0
0.007812,0.531738,1.122559,-8.414635,-64.695122,-24.695122,0.0,0.0,0.0
0.019531,0.516113,1.118164,-8.597561,-62.378052,-27.743902,0.0,0.0,0.0
0.03125,0.489746,1.099121,-9.634147,-60.18293,-29.512196,0.0,0.0,0.0
0.033203,0.459961,1.083496,-10.487805,-59.7561,-29.817074,0.0,0.0,0.0
0.03125,0.463379,1.088379,-11.95122,-59.573174,-30.060976,0.0,0.0,0.0
0.035156,0.467285,1.126465,-12.987805,-59.268295,-31.585367,0.0,0.0,0.0
0.033691,0.462891,1.166504,-13.780488,-56.951221,-33.048782,0.0,0.0,0.0
0.027832,0.45752,1.187012,-13.109756,-53.414635,-35.060978,0.0,0.0,0.0
0.031738,0.460449,1.190918,-12.134147,-49.695122,-37.804878,0.0,0.0,0.0
0.027832,0.439941,1.169434,-9.573171,-45.42683,-40.548782,0.0,0.0,0.0
0.038086,0.422852,1.180176,-5.182927,-41.768295,-44.024391,0.0,0.0,0.0
0.050293,0.400879,1.186523,-2.865854,-37.804878,-45.853661,0.0,0.0,0.0
0.056641,0.37793,1.176758,-0.914634,-33.597561,-47.743904,0.0,0.0,0.0
0.057129,0.351074,1.166992,-0.914634,-30.243902,-48.902439,0.0,0.0,0.0
0.062012,0.325195,1.150879,-1.402439,-27.865854,-49.451221,0.0,0.0,0.0
0.074707,0.26416,1.154297,-1.097561,-25.243902,-49.085365,0.0,0.0,0.0
0.062988,0.240723,1.142578,-1.280488,-21.707317,-47.073174,0.0,0.0,0.0
0.058105,0.242676,1.137207,-2.256098,-19.634148,-45.182926,0.0,0.0,0.0
0.064941,0.229004,1.128418,-1.52439,-17.865854,-43.536587,0.0,0.0,0.0
0.063477,0.217285,1.129395,-1.036585,-15.853659,-42.012196,0.0,0.0,0.0
0.072266,0.21875,1.12793,-1.707317,-13.292684,-39.451221,0.0,0.0,0.0
0.078125,0.220703,1.12207,-2.5,-11.52439,-38.109756,0.0,0.0,0.0
0.072266,0.216797,1.115723,-2.012195,-9.817074,-37.2561,0.0,0.0,0.0
