acc_X,acc_Y,acc_Z,digit
-355,-102,3662,0
-330,-20,3633,0
-301,32,3620,0
-339,-72,3723,0
-349,-68,3824,0
-388,67,3604,0
-468,70,3276,0
-506,-71,3243,0
-527,-280,3254,0
-570,-416,3155,0
-586,-356,3070,0
-627,-195,2886,0
-676,-107,2731,0
-676,13,2787,0
-688,5,2838,0
-734,-41,2729,0
-758,80,2591,0
-758,236,2591,0
-725,466,2556,0
-687,676,2447,0
-689,653,2494,0
-681,591,2552,0
-662,667,2475,0
-652,759,2372,0
-640,841,2333,0
-666,910,2261,0
-674,960,2165,0
-609,1116,2254,0
-534,1168,2446,0
-482,1020,2661,0
-412,1048,2900,0
-374,1190,2923,0
-345,1441,2774,0
-276,1853,2829,0
-211,2067,2860,0
-174,1936,2972,0
-132,1727,3187,0
-87,1607,3441,0
-82,1518,3465,0
-102,1473,3231,0
-46,1688,3098,0
78,1822,3225,0
192,1756,3448,0
324,1920,3621,0
399,1972,3837,0
412,1780,3762,0
444,1549,3853,0
614,1783,3991,0
600,1802,3864,0
585,1775,3641,0
668,2049,3541,0
870,2408,3801,0
1022,2426,4240,0
1022,2426,4240,0
1076,2015,4449,0
1048,1602,4591,0
978,1480,4363,0
910,1618,3887,0
1090,2287,3891,0
1344,2863,4268,0
1482,2348,4751,0
1474,1984,4833,0
1433,1859,4717,0
1414,1988,4527,0
1461,2196,4456,0
1517,2243,4538,0
1558,2028,4616,0
1603,1859,4746,0
1698,1985,4875,0
1804,2209,5004,0
1818,2145,5203,0
1758,1946,5098,0
1714,1711,5041,0
1679,1506,5183,0
1666,1552,5227,0
1675,1690,5017,0
1670,1629,4951,0
1679,1464,4885,0
1701,1447,4833,0
1724,1478,4889,0
1778,1255,5150,0
1785,999,5392,0
1714,964,5266,0
1607,971,4963,0
1525,1046,4780,0
1467,1169,4648,0
1430,1153,4637,0
1415,1053,4618,0
1401,1048,4636,0
1365,845,4604,0
1270,451,4479,0
1224,346,4406,0
1267,356,4552,0
1238,234,4684,0
1210,301,4529,0
1197,514,4433,0
1111,510,4241,0
973,373,3895,0
875,154,3778,0
777,-7,3733,0
548,-203,3483,0
431,-236,3380,0
374,-208,3293,0
312,-182,3338,0
288,98,3263,0
227,253,3045,0
116,0,3052,0
16,-220,3032,0
-9,-111,2982,0
3,56,3084,0
-17,68,3170,0
-34,181,3137,0
-1,630,3177,0
-37,506,3207,0
-98,285,3200,0
-178,133,3163,0
-173,284,3157,0
-83,576,3268,0
-83,564,3475,0
-5,709,3728,0
-5,709,3728,0
3,848,3761,0
-72,695,3550,0
-112,602,3591,0
-171,490,3575,0
-174,572,3575,0
-135,631,3676,0
-152,625,3826,0
-82,864,3899,0
-177,716,3836,0
-176,715,3835,0
-102,745,4010,0
-92,656,4141,0
-123,589,4175,0
-160,583,4021,0
-193,600,3857,0
-107,806,3959,0
-61,1023,4063,0
-56,893,4050,0
15,844,4310,0
45,880,4403,0
38,942,4305,0
70,1045,4275,0
100,1075,4390,0
91,970,4469,0
47,850,4320,0
-15,753,4086,0
-59,713,3945,0
-73,669,3935,0
-82,553,4017,0
-122,426,3957,0
-158,372,3878,0
-171,429,3878,0
-150,539,3907,0
-98,602,3989,0
11,684,4182,0
6,559,4285,0
-27,530,4222,0
-28,601,4159,0
-83,548,4005,0
-117,501,3905,0
-69,523,3987,0
3,570,4240,0
26,630,4331,0
-2,625,4162,0
-26,520,4100,0
-51,403,4112,0
-47,464,4094,0
13,553,4181,0
0,425,4208,0
-11,361,4260,0
-33,527,4157,0
-28,657,4020,0
-29,691,4058,0
-43,558,4129,0
-81,255,4185,0
-102,5,4194,0
-103,66,4042,0
2,659,4164,0
-13,613,4127,0
-13,613,4127,0
357,-325,4967,0
318,-336,4880,0
241,-324,4683,0
180,-354,4531,0
123,-462,4519,0
67,-472,4482,0
31,-352,4300,0
-5,-360,4149,0
2,-311,4234,0
51,-132,4336,0
7,-204,4176,0
-58,-442,4157,0
-98,-444,4119,0
-137,-359,3917,0
-172,-340,3733,0
-215,-292,3658,0
-295,-350,3517,0
-363,-493,3432,0
-456,-618,3276,0
-533,-568,3141,0
-597,-476,2915,0
-655,-511,2804,0
-697,-588,2784,0
-733,-660,2707,0
-733,-660,2707,0
-791,-731,2528,0
-847,-697,2226,0
-874,-629,2069,0
-850,-535,2084,0
-812,-474,2084,0
-782,-424,1936,0
-745,-408,1968,0
-679,-320,2139,0
-657,-162,2117,0
-640,175,2065,0
-592,464,2192,0
-513,875,2448,0
-444,1289,2601,0
-436,1402,2740,0
-436,1295,2814,0
-442,1117,2747,0
-523,704,2596,0
-599,505,2373,0
-584,807,2239,0
-449,1339,2349,0
-193,1822,2886,0
-65,1743,3436,0
56,1629,3798,0
207,1955,3991,0
229,1807,4139,0
170,1647,4027,0
141,1962,3681,0
210,2419,3396,0
297,2618,3478,0
324,2238,3772,0
382,1756,4091,0
496,1713,4331,0
566,1671,4503,0
558,1638,4390,0
575,1811,4090,0
668,1957,3990,0
775,2009,4080,0
910,2143,4283,0
1020,2174,4436,0
1062,1888,4591,0
1095,1649,4699,0
1150,1704,4545,0
1212,1564,4596,0
1295,1402,4884,0
1397,1500,4907,0
1469,1757,4777,0
1499,1807,4695,0
1533,1667,4763,0
1610,1665,4964,0
1654,1470,5019,0
1593,1152,4922,0
1525,1063,4677,0
1523,939,4679,0
1575,838,4966,0
1608,949,5045,0
1579,983,5013,0
1519,979,4970,0
1537,1117,5083,0
1568,1063,5034,0
1564,1014,4872,0
1553,923,4759,0
1535,632,4721,0
1587,541,4830,0
1631,636,4935,0
1625,565,4918,0
1597,535,4851,0
1574,473,4791,0
1581,427,4789,0
1586,454,4908,0
1573,491,4998,0
1542,596,4941,0
1538,847,4797,0
1467,834,4576,0
1358,340,4523,0
1308,-2,4522,0
1314,-46,4505,0
1346,-89,4667,0
1314,-201,4738,0
1282,-32,4621,0
1221,160,4403,0
1101,61,4161,0
1017,-174,4169,0
968,-310,4216,0
942,-198,4187,0
924,86,3951,0
831,35,3870,0
754,-19,3951,0
660,61,3749,0
594,-4,3586,0
599,54,3706,0
651,193,3754,0
592,-194,3889,0
548,-244,3920,0
526,-45,3812,0
410,132,3544,0
271,116,3354,0
140,5,3269,0
67,23,3147,0
43,227,3126,0
0,124,3237,0
-19,68,3377,0
-24,284,3402,0
-24,315,3311,0
-55,143,3357,0
-118,-50,3313,0
-175,-162,3254,0
-198,-135,3271,0
-207,36,3182,0
-154,272,3309,0
-147,279,3417,0
-171,147,3497,0
-208,-47,3519,0
-174,19,3579,0
-156,121,3650,0
-179,94,3626,0
-161,258,3648,0
-73,528,3841,0
-42,502,3988,0
-64,317,4076,0
-111,299,4005,0
-160,379,3848,0
-146,553,3834,0
-101,635,3912,0
-123,345,4008,0
-86,257,4192,0
-19,494,4342,0
-41,576,4263,0
-65,617,4215,0
-74,602,4201,0
-168,235,4074,0
-208,17,3985,0
-134,250,4060,0
-121,285,4094,0
-159,104,4010,0
-107,147,4068,0
-28,255,4249,0
-26,292,4118,0
-23,276,4134,0
36,-33,4380,0
53,82,4461,0
47,337,4364,0
17,529,4285,0
-39,444,4242,0
-98,283,4151,0
-145,206,4032,0
-147,181,4024,0
-155,177,3996,0
-161,129,4061,0
-139,179,4177,0
-113,301,4189,0
-59,426,4245,0
-24,473,4272,0
-77,367,4159,0
-105,245,4125,0
-110,179,4111,0
-126,115,4058,0
-100,156,4097,0
-44,277,4135,0
-6,342,4163,0
24,384,4224,0
-3,333,4168,0
-19,325,4152,0
-68,169,4064,0
-105,8,4063,0
-74,119,4102,0
-27,274,4196,0
-34,301,4215,0
